;Column2;Column1;idx;token;Label_Gold;Label_BG;Sicher_BG;Label_JL;Sicher_JL;Label_FA;Sicher_FA;Label_RR;Sicher_RR;Label_TH;Zusatzinfo;sentence;context;label;year;filename;Quelle_Gold;Quelle_BG;annodatenerz;Quelle_FA;Quelle_RR;Unnamed: 23;Unnamed: 24;Unnamed: 25;Unnamed: 26;Unnamed: 27;Unnamed: 28;Unnamed: 29;Unnamed: 30;Unnamed: 31
162;847;96;419955;erzähler;b/c;c;70;n;;b;80;d;;n;;Der Erzähler kokettiert mit seiner „Unmodernität“ und verfällt dabei unversehens in Manierismen und gespreiztes Understatement.;In jedem Fall gelingt es Bender allenfalls sporadisch, aus dieser Perspektive überraschende, erzählerisch plausible Konsequenzen zu ziehen. Das Bemühen um Ironie wirkt verkrampft, Ansätze zu einer selbstironischen Betrachtung sind vor dem Umschlag in Larmoyanz und selbstgerechtes Liebäugeln mit den eigenen Vorurteilen nie gefeit. Der Erzähler kokettiert mit seiner „Unmodernität“ und verfällt dabei unversehens in Manierismen und gespreiztes Understatement. Mit gekünstelter Besorgnis merkt er etwa an: „Ich hoffe, ich gebrauche das richtige Fremdwort“, und wie ein falscher Ton in einer einfacher Melodie klingt es, wenn ein Kater „sein Befremden zu bekunden (scheint)“. Auffälliger noch als diese zahlreichen Dissonanzen ist die direkte Nachbarschaft der prätentiösen Schlichtheit zu schlichtem Ressentiment.;;1987;3.0/1987/12/04/kleines-dasein.xml.xml;zeit.stimuli.erzaehler.withbertpred_balanced_Gold (1);zeit.stimuli.erzaehler.withbertpred_balanced_BG;;zeit.stimuli.erzaehler.withbertpred_balanced_FA;zeit.stimuli.erzaehler.withbertpred_balanced_Rist;;;;;;;;;
163;842;97;421007;erzählers;d;d;80;n;;d;60;d;;n;;"Auch „Die Wiederholung“ scheint in vielem Vorankündigung, noch nicht eingelöstes Programm zu sein, etwa wenn es von dem Ziel des Erzählers heißt: „Ich werde einen Ausdruck finden für das dunkle Innere einer weißen Kastanienblüte, das Gelb des Lehms unter dem nassen Schnee, das Überbleibsel der Blüte am Apfel und den Laut des aufspringenden Fisches im Fluß!“ Gerade im zweiten und dritten Teil des Werkes häufen sich die Absichtserklärungen; der Erzähler, und hinter ihm Peter Handke, drängt sich als Theoretiker vor, bleibt nicht Teil der einheits- und identitätsstiftenden Zusammenschau – wie sie etwa angesichts einer Landschaft gelingt: „Ein Kind bestaunt sie, ein Zwanzigjähriger beschaut sie, ein Fünfundvierzigjähriger überblickt sie, und alle drei sind sie in diesem Augenblick eins und alterslos.“ So bewegend die Kindheit im ersten Teil der „Wiederholung“ beschworen wird, so schwierig wird es, dem zwanzigjährigen Wanderer durch das jugoslawische Slowenien und dem 45 Jahre alten Erzähler bei seiner Wiederholung im Geiste zu folgen, besonders im dritten Teil des Buches.";"„Indizien, Beweise findet man in jedem Buch zuhauf, in diesem neuen ganz besonders: Gründe für stammelnde Andacht genauso wie für gellenden Hohn.“ Henrichs lehnte das Buch ab, nach einer gründlichen Erwägung des Für und Wider; Vorbehalte formulierte auch Joachim Kaiser in der Süddeutschen Zeitung, ohne zu einem ebenso strengen Urteil zu kommen; Anerkennung und Respekt spricht aus der Rezension Peter von Matts in der Frankfurter Allgemeinen; vorbehaltloses Lob spendete Martin Lüdke in der Frankfurter Rundschau: „Unprätentiös, doch anspruchsvoll, verwickelt, aber nie verworren, ohne Zierat und Ballast, unpathetisch, mit einfachen Worten erzählt Handke eine große Geschichte.“ Tatsächlich ist das die Absicht. Ob Handke sie verwirklicht hat, schon mit diesem Buch, ist eine andere Sache. Auch „Die Wiederholung“ scheint in vielem Vorankündigung, noch nicht eingelöstes Programm zu sein, etwa wenn es von dem Ziel des Erzählers heißt: „Ich werde einen Ausdruck finden für das dunkle Innere einer weißen Kastanienblüte, das Gelb des Lehms unter dem nassen Schnee, das Überbleibsel der Blüte am Apfel und den Laut des aufspringenden Fisches im Fluß!“ Gerade im zweiten und dritten Teil des Werkes häufen sich die Absichtserklärungen; der Erzähler, und hinter ihm Peter Handke, drängt sich als Theoretiker vor, bleibt nicht Teil der einheits- und identitätsstiftenden Zusammenschau – wie sie etwa angesichts einer Landschaft gelingt: „Ein Kind bestaunt sie, ein Zwanzigjähriger beschaut sie, ein Fünfundvierzigjähriger überblickt sie, und alle drei sind sie in diesem Augenblick eins und alterslos.“ So bewegend die Kindheit im ersten Teil der „Wiederholung“ beschworen wird, so schwierig wird es, dem zwanzigjährigen Wanderer durch das jugoslawische Slowenien und dem 45 Jahre alten Erzähler bei seiner Wiederholung im Geiste zu folgen, besonders im dritten Teil des Buches. Dennoch muß man noch einmal deutlich aussprechen, daß es sich, wenn man hier überhaupt von einem Scheitern sprechen sollte, um das Scheitern eines einsamen poetischen Unterfangens handelt, einer Erzählabsicht fernab des landläufigen Büchermachens unserer Tage. Aber ist das alles denn nicht einfach Gegenwartsflucht zu nennen?";;1987;3.0/1987/02/13/sirenenklaenge-unheilges.xml;zeit.stimuli.erzaehler.withbertpred_balanced_Gold (1);zeit.stimuli.erzaehler.withbertpred_balanced_BG;;zeit.stimuli.erzaehler.withbertpred_balanced_FA;zeit.stimuli.erzaehler.withbertpred_balanced_Rist;;;;;;;;;
164;844;98;422025;erzähler;b;b;100;n;;b;100;b;;n;;Aus dieser Einsieht gründet seine Bedeutung als europäischer Erzähler.;"Denn Calvino hatte ein Grundproblem unserer Gesellschaft verstanden: daß die Lösung von Problemen heutzutaimmer nur neue Probleme schafft Gesellschaftliche, politische, ökonomische, ökologische Probleme werden in der Regel nicht gelöst, sondern nur verschoben und damit potenziert. Calvino hat also begriffen, daß aus diesem Zusammenhang neue, andere Möglichkeiten (oder Notwendigkeiten) für die Literatur erwachsen. Aus dieser Einsieht gründet seine Bedeutung als europäischer Erzähler. Sein Erfolg resultiert aus einem paradoxen Kunststück: Calvino konnte denkend erzählen und erzählend denken; er konnte haarsträubend handlungsträchtige Geschichte so raffiniert konstruieren, daß sich der analytisch geschulte Skeptiker mit jedem anspruchslosen Krimi-Leser in platter Begeisterung einig wird. „Ich lese, also schreibt es.“ – Ausgerechnet mit solchen Behauptungen, mit einem Roman, der die Existenz des Autors in Frage stellt, „Wenn ein Reisender in einer Winternacht...“, ist er auch bei uns, in einem zweiten Anlauf, populär geworden.";;1987;3.0/1987/10/09/vom-hoeren-riechen-schme.xml;zeit.stimuli.erzaehler.withbertpred_balanced_Gold (1);zeit.stimuli.erzaehler.withbertpred_balanced_BG;;zeit.stimuli.erzaehler.withbertpred_balanced_FA;zeit.stimuli.erzaehler.withbertpred_balanced_Rist;;;;;;;;;
165;1249;3390;422237;erzählers;c;n;;n;;n;;n;;n;augmented;Trat nicht das Buch für die Erinnerung des Erzählers ein, erweiterte sein Repertoire, ohne ihn ersetzen zu sollen?;Und Bücher? Sind sie nicht eigentlich zum Vorlesen gemacht? Trat nicht das Buch für die Erinnerung des Erzählers ein, erweiterte sein Repertoire, ohne ihn ersetzen zu sollen? Was da fehlt, ist zu merken, wenn man beim Lesen im Zug still in sich hineinschmunzeln muß, ohne es zu wagen, sein Gegenüber oder das ganze Abteil in den Lesegenuß einzubeziehen. Dabei das deutliche Gefühl: Erst dadurch würde das Gedruckte wirklich lebendig, erst durch die Gemeinschaft der Hörer.;;1987;3.0/1987/03/27/lob-des-vorlesens.xml.xml;;;;;;;;;;;;;;
166;846;99;423089;erzähler;d;d;80;n;;d;100;d;;n;;Der ehemüde Erzähler, ein Antiquitätenhändler, lernt einen alten, erfolglosen Schauspieler namens Fritz Bieler kennen, der sich als Unterhalter in Altersheimen oder Verkaufsförderer in Kinderabteilungen von Warenhäusern durchschlägt und davon träumt, einmal als „Lear“ auf der Bühne zu stehen.;Die nennenswerteste und erfolgreichste heimische Ausnahme ist gewiß Henscheids „Trilogie des laufenden Schwachsinns“. Frieder Faist, dessen erster Roman „Schattenspiele“ fast ein Krimi war, hat nun ein Buch veröffentlicht, das sich an der Erzählhaltung Chandlers und Henscheids orientiert: „Nebenrollen“. Der ehemüde Erzähler, ein Antiquitätenhändler, lernt einen alten, erfolglosen Schauspieler namens Fritz Bieler kennen, der sich als Unterhalter in Altersheimen oder Verkaufsförderer in Kinderabteilungen von Warenhäusern durchschlägt und davon träumt, einmal als „Lear“ auf der Bühne zu stehen. Der Antiquitätenhändler kann zur Hilfestellung überredet werden, weil er sich in die vermeintliche Tochter des Nebenrollen-Schauspielers verguckt. Die Hilfe besteht darin, daß er in vermeintlicher Abwesenheit der Ehefrau eine vermeintliche Hochzeitsfeier mit der vermeintlichen Tochter als Vorwand für eine Einladung des Shakespeare-Regisseurs Reto Suter arrangiert, mit dem er einst die Schulbank gedrückt hatte.;;1987;3.0/1987/04/10/faist-die-spaesse-des-he.xml;zeit.stimuli.erzaehler.withbertpred_balanced_Gold (1);zeit.stimuli.erzaehler.withbertpred_balanced_BG;;zeit.stimuli.erzaehler.withbertpred_balanced_FA;zeit.stimuli.erzaehler.withbertpred_balanced_Rist;;;;;;;;;
167;851;100;423185;erzählers;c/d;d;80;n;;c ;80;c;;n;;Unnachahmlich verbindet der Autor die beschränkte Weltsicht seiner Protagonisten mit der Botschaft des Erzählers: Ein armer Junge in einem politisch unfreien Land des Orients will Dichter oder Journalist werden.;Die Erklärungsmuster für das Verhalten seiner Figuren entstehen aus den einfachen Zusammenhängen von Ursache und Wirkung oder offenbaren die Nutzanwendung aufgeschnappter Geschichten, Redensarten und Ratschläge vertrauter Personen. Doch die scheinbare Eindimensionalität der Tagebuch-Eintragungen täuscht. Unnachahmlich verbindet der Autor die beschränkte Weltsicht seiner Protagonisten mit der Botschaft des Erzählers: Ein armer Junge in einem politisch unfreien Land des Orients will Dichter oder Journalist werden. Das kann er menschlich integer nur mit liebevoller Unterstützung von Familie und Freunden und auf dem gefährlichen Weg des politischen Abweichlers. Als Mitglieder der Liga Arabisch-Syrischer Schriftsteller mich im Anschluß an einen Vortrag über bundesrepublikanische Gegenwartsliteratur nach der Bedeutung Rafik Schamis fragten, War ich hilflos.;;1987;3.0/1987/04/10/tagebuch-aus-damaskus.xm.xml;zeit.stimuli.erzaehler.withbertpred_balanced_Gold (1);zeit.stimuli.erzaehler.withbertpred_balanced_BG;;zeit.stimuli.erzaehler.withbertpred_balanced_FA;zeit.stimuli.erzaehler.withbertpred_balanced_Rist;;;;;;;;;
168;1208;3431;423185;erzählers;c;n;;n;;n;;n;;n;augmented;Unnachahmlich verbindet der Autor die beschränkte Weltsicht seiner Protagonisten mit der Botschaft des Erzählers: Ein armer Junge in einem politisch unfreien Land des Orients will Dichter oder Journalist werden.;Die Erklärungsmuster für das Verhalten seiner Figuren entstehen aus den einfachen Zusammenhängen von Ursache und Wirkung oder offenbaren die Nutzanwendung aufgeschnappter Geschichten, Redensarten und Ratschläge vertrauter Personen. Doch die scheinbare Eindimensionalität der Tagebuch-Eintragungen täuscht. Unnachahmlich verbindet der Autor die beschränkte Weltsicht seiner Protagonisten mit der Botschaft des Erzählers: Ein armer Junge in einem politisch unfreien Land des Orients will Dichter oder Journalist werden. Das kann er menschlich integer nur mit liebevoller Unterstützung von Familie und Freunden und auf dem gefährlichen Weg des politischen Abweichlers. Als Mitglieder der Liga Arabisch-Syrischer Schriftsteller mich im Anschluß an einen Vortrag über bundesrepublikanische Gegenwartsliteratur nach der Bedeutung Rafik Schamis fragten, War ich hilflos.;;1987;3.0/1987/04/10/tagebuch-aus-damaskus.xm.xml;;;;;;;;;;;;;;
169;848;101;423793;erzähler;c;c;90;n;;c;80;c;;n;;„Nun freilich wird man von ihr die größeren Werke erleben, zu denen sie erkoren ist .. kommentiert der Erzähler.;Blimunda, die Seherin, schleicht durch die Gassen der von einer Seuche heimgesuchten Stadt Lissabon und raubt den Sterbenden ihre letzten Willenskräfte, damit sie der Flugmaschine als Treibstoff dienen. Sie, die spürt, wenn ein Mensch krank ist, die sieht, wo Krankheit im Körper sitzt, verschweigt dieses Wissen, macht keinen Gebrauch von ihren magischen Kräften, um die Menschen zu heilen. „Nun freilich wird man von ihr die größeren Werke erleben, zu denen sie erkoren ist .. kommentiert der Erzähler. Menschliche Willenskraft, statt zu einer menschenwürdigen Gegenwart, einem besseren Leben im Hier und Jetzt beizutragen, soll einer Idee dienen. Ähnlich wie beim unmenschlichen Klosterbau von Mafra, wo einer Wahnidee Zehntausende von Menschenleben geopfert werden, fordert auch die Realisierung des positiven Gegenentwurfs Opfer im Namen der kommenden Generationen.;;1987;3.0/1987/01/23/der-name-des-klosters.xm.xml;zeit.stimuli.erzaehler.withbertpred_balanced_Gold (1);zeit.stimuli.erzaehler.withbertpred_balanced_BG;;zeit.stimuli.erzaehler.withbertpred_balanced_FA;zeit.stimuli.erzaehler.withbertpred_balanced_Rist;;;;;;;;;
171;853;102;424253;erzählerin;d;d;80;n;;d;80;d;;n;;Im narzistischen Spiegelmotiv erscheint die künftige Erzählerin als Betrachterin ihrer selbst.;"Dort schiebt sich über das Gesicht des Geliebten das Bild des Mädchens „mit dem zynischen Blick“. Die Frühstückszene enthält im Keim den ganzen Roman. Im narzistischen Spiegelmotiv erscheint die künftige Erzählerin als Betrachterin ihrer selbst. Fayne, dem Mädchen mit dem zynischen Blick, gilt der letzte Satz des Romans, der den Schritten Hermiones in Richtung auf die Zukunft folgt. –Sibylle Cramer  Hilda Doolittle: „HERmione“ Roman; aus dem Amerikanischen von Anja Lazarowicz; Carl Hanser Verlag, München 1987; 285 S., 34,– DM";;1987;3.0/1987/08/14/bilder-der-nacht.xml.xml;zeit.stimuli.erzaehler.withbertpred_balanced_Gold (1);zeit.stimuli.erzaehler.withbertpred_balanced_BG;;zeit.stimuli.erzaehler.withbertpred_balanced_FA;zeit.stimuli.erzaehler.withbertpred_balanced_Rist;;;;;;;;;
172;698;103;426370;erzähler;b;b;90;n;;b;100;b;;n;;Kein englischer Erzähler von heute wird meinen, daß englische Sorgen der Nabel der Welt wären, und daß die gegenwärtige Generation vor grundsätzlich anderen Problemen stände als die vorige und die vorvorige.;Die viel größere Spannweite etwa des englischen Romans hat nicht nur mit der ungebrocheneren Tradition und den geringen Kriegsverlusten unter den Autoren, auch nicht nur mit europäischen Kulturen gekommen, und selbst dort, wo sie sich auf Milieus der britischen Inseln beschränken, sind die Personen, von denen sie erzählen, vielgereiste Leute. Der weitere geographische Horizont bedingt auch einen weiteren geistigen Horizont. Kein englischer Erzähler von heute wird meinen, daß englische Sorgen der Nabel der Welt wären, und daß die gegenwärtige Generation vor grundsätzlich anderen Problemen stände als die vorige und die vorvorige. Die räumliche Weite des Blickpunkts und die Kontinuität der Themen bedingen einander. Ein halbes Dutzend beliebig herausgegriffener Neuerscheinungen englischer Werke auf dem deutschen Buchmarkt läßt das augenfällig werin Indien, wo die halbwüchsige Teresa am Rande des Dschungels unter Eingeborenen die Erfüllung einer Vision findet, die ihr in England vorschwebte.;;1952;3.0/1952/03/27/wer-die-welt-kennt-hat-g.xml;zeit.stimuli.erzaehler.withbertpred_balanced_Gold (1);zeit.stimuli.erzaehler.withbertpred_balanced_BG;;zeit.stimuli.erzaehler.withbertpred_balanced_FA;zeit.stimuli.erzaehler.withbertpred_balanced_Rist;;;;;;;;;
173;697;104;427014;erzähler;b;b;100;n;;b;100;b;;n;;Ein neuer Erzähler von zupackender Wucht gibt im Gleichnis einer ukrainischen Bauerngeschichte ein Bild vom ständigen Verfall und von der ständigen Wiederaufrichtung der kirchlichen Autorität: Der verkommene Pope eines kleinen Dorfes mit einer prunkvollen alten Kirche wird Zeuge, wie in der Wirtschaft beim Wodka ein durch Trunk und Wettgier verarmter Bauer seine einzige Tochter in einer Wette mit dem brutalen Dorfvorsteher zum Einsatz gibt.;Novelle. (Carl Schünemann-Verlag, Bremen, 82 S., 3,20 DM.) Ein neuer Erzähler von zupackender Wucht gibt im Gleichnis einer ukrainischen Bauerngeschichte ein Bild vom ständigen Verfall und von der ständigen Wiederaufrichtung der kirchlichen Autorität: Der verkommene Pope eines kleinen Dorfes mit einer prunkvollen alten Kirche wird Zeuge, wie in der Wirtschaft beim Wodka ein durch Trunk und Wettgier verarmter Bauer seine einzige Tochter in einer Wette mit dem brutalen Dorfvorsteher zum Einsatz gibt. Nachdem er erkannt hat, daß der Bauer die Wette durch Selbstmord zu gewinnen gedenkt, um sein Kind wieder in den Besitz seines Hofes zu bringen, kommt er ihm zuvor und sühnt mit seinem Opfertod die Schuld, die er durch Vernachlässigung seiner geistlichen Pflichten über das ganze Dorf gebracht hat. In der gleichen Nacht zündet ein Wahnsinniger die Kirche an, die mit all ihren Schätzen in Flammen aufgeht.;;1952;3.0/1952/01/03/segen-und-last-der-gewoh.xml;zeit.stimuli.erzaehler.withbertpred_balanced_Gold (1);zeit.stimuli.erzaehler.withbertpred_balanced_BG;;zeit.stimuli.erzaehler.withbertpred_balanced_FA;zeit.stimuli.erzaehler.withbertpred_balanced_Rist;;;;;;;;;
174;733;105;427744;erzähler;b;b;100;n;;b;100;b;;n;;"Und es mag auch mancher Preisrichter daran gedacht haben, daß Freuds Werk nicht mehr aus der Verbannung zurückgekehrt ist – nicht nach Österreich und nicht nach Deutschland; in dem Sinn, in dem auch das Werk vieler großer deutscher Erzähler (Heinrich Mann, Döblin, Roth) nicht mehr zurückgekommen ist, obwohl sie in ausgezeichneten Ausgaben vorliegen.";"Victor von Weizsäcker schrieb, „daß alle wesentlichen Entdeckungen und Erkenntnisse der Psychoanalyse ausschließlich auf Freud zurückgehen“. So kann kein Analytiker, kein Freudianer und kein Antifreudianer, geehrt werden, ohne daß der Meister mitgefeiert wird. Und es mag auch mancher Preisrichter daran gedacht haben, daß Freuds Werk nicht mehr aus der Verbannung zurückgekehrt ist – nicht nach Österreich und nicht nach Deutschland; in dem Sinn, in dem auch das Werk vieler großer deutscher Erzähler (Heinrich Mann, Döblin, Roth) nicht mehr zurückgekommen ist, obwohl sie in ausgezeichneten Ausgaben vorliegen. Sollte der Preis ein Versuch sein, auf das gewaltige Werk aufmerksam zu machen, das nicht recht bekannt ist? Der Biograph Ernest Jones stellte vor Jahren fest, daß man in vielen Landen Europas und der Amerikas mit Freuds Arbeiten vertrauter ist als dort, wo die Sprache, in der er großartig schrieb, gesprochen wird.";;1964;3.0/1964/06/19/so-gute-analytische-fund.xml;zeit.stimuli.erzaehler.withbertpred_balanced_Gold (1);zeit.stimuli.erzaehler.withbertpred_balanced_BG;;zeit.stimuli.erzaehler.withbertpred_balanced_FA;zeit.stimuli.erzaehler.withbertpred_balanced_Rist;;;;;;;;;
175;729;106;431538;erzähler;a;a;75;n;;a;90;a;;n;;Irgend etwas hat eine Fähre auch von einem Theater: Da gibt es stets den Erzähler, der ununterbrochen seine Nachbarn mit völlig uninteressanten Geschichten unterhält.;"Sie können, da man auf einem finnischen Schiff ist, auch in die Sauna gehen. Die Fähre ist auch gepriesene Gaststätte; an der Bar herrschen klarere Verhältnisse: Die Getränke sind billiger, die Maße größer als an Land. Irgend etwas hat eine Fähre auch von einem Theater: Da gibt es stets den Erzähler, der ununterbrochen seine Nachbarn mit völlig uninteressanten Geschichten unterhält. Es gibt aber auch die Zuhörer, die ihm gewachsen zu sein scheinen. Da gibt es den Jüngling mit Vollbart und das Mädchen mit weitem Pullover.";;1964;3.0/1964/01/03/man-faehrt-faehre.xml.xml;zeit.stimuli.erzaehler.withbertpred_balanced_Gold (1);zeit.stimuli.erzaehler.withbertpred_balanced_BG;;zeit.stimuli.erzaehler.withbertpred_balanced_FA;zeit.stimuli.erzaehler.withbertpred_balanced_Rist;;;;;;;;;
176;1290;3754;436916;erzähler;c;n;;n;;n;;n;;n;augmented;"So zu lesen in Ludvik Askenazy: „Molly, die Schiffskatze“, mit Bildern von Dieter Wiesmüller; Verlag Sauerländer, Aarau, Frankfurt, Salzburg; 33 S., 18,80 DM Ludvik Askenazy versteht sein Handwerk als Erzähler.";"Und wiedersehen tun sie sich bestimmt. Bis dahin: Ahoi! So zu lesen in Ludvik Askenazy: „Molly, die Schiffskatze“, mit Bildern von Dieter Wiesmüller; Verlag Sauerländer, Aarau, Frankfurt, Salzburg; 33 S., 18,80 DM Ludvik Askenazy versteht sein Handwerk als Erzähler. Er stellt es hier mit viel Humor unter Beweis. Realität und Phantasie werden subtil vermischt zu einem köstlichen, temperamentvollen Abenteuer, in dem die pfiffigen Dialoge den Leser ab etwa sechs Jahre schmunzeln lassen.";;1978;3.0/1978/11/17/der-bootsmann-frisst-mae.xml;;;;;;;;;;;;;;
177;1210;3789;439210;erzähler;c;n;;n;;n;;n;;n;augmented;Es sind kuriose, oft hintersinnige, durchweg berückend poetische Geschichten, darin der Erzähler fabuliert und dabei, das ist nicht unwichtig, wie nebenbei zu lauter kleinen philosophischen Turnübungen einlädt.;"Rätsel also? Nein, nicht eigentlich Rätsel. Es sind kuriose, oft hintersinnige, durchweg berückend poetische Geschichten, darin der Erzähler fabuliert und dabei, das ist nicht unwichtig, wie nebenbei zu lauter kleinen philosophischen Turnübungen einlädt. Denn es sind Geschichten, in denen mehr als in den Märchen möglich ist, zum Beispiel das Bedauern, ""daß man nicht sein kann, wo nichts ist"", oder die Beobachtung, dass in den ""gelbsten"" Äpfeln ""Apfelleute"" hausen, die, sobald man hineinbeißt, seltsam schmecken; was Wunder auch, denn sie tragen Jeans und Pullover, und einer hat sogar Ohren und versteht ein wenig Deutsch und weiß außerdem, dass es seinesgleichen gar nicht geben könne, weshalb sie eben so lebten, als gäbe es sie nicht. Es ist obendrein ein ungewöhnlich schönes Buch, das man sich unter die ""50 schönsten Bücher des Jahres 2000"" wünscht: distinguiert der Einband, elegant die Antiquaschrift, wohltuend ruhig der Satzspiegel, angenehm das gelbliche Papier, reizend die elementaren, klar konturierten blau-grau-schwarzen Zeichnungen - die dritte Zusammenarbeit von Jürg Schubiger und der Buchkünstlerin Rotraut Susanne Berner.";;2000;3.0/2000/12/14/200051_kj-schubiger.xml..xml;;;;;;;;;;;;;;
178;966;107;439210_1;erzähler;c;c;90;n;;b ;80;b;;n;;Es sind kuriose, oft hintersinnige, durchweg berückend poetische Geschichten, darin der Erzähler fabuliert und dabei, das ist nicht unwichtig, wie nebenbei zu lauter kleinen philosophischen Turnübungen einlädt.;"Rätsel also? Nein, nicht eigentlich Rätsel. Es sind kuriose, oft hintersinnige, durchweg berückend poetische Geschichten, darin der Erzähler fabuliert und dabei, das ist nicht unwichtig, wie nebenbei zu lauter kleinen philosophischen Turnübungen einlädt. Denn es sind Geschichten, in denen mehr als in den Märchen möglich ist, zum Beispiel das Bedauern, ""daß man nicht sein kann, wo nichts ist"", oder die Beobachtung, dass in den ""gelbsten"" Äpfeln ""Apfelleute"" hausen, die, sobald man hineinbeißt, seltsam schmecken; was Wunder auch, denn sie tragen Jeans und Pullover, und einer hat sogar Ohren und versteht ein wenig Deutsch und weiß außerdem, dass es seinesgleichen gar nicht geben könne, weshalb sie eben so lebten, als gäbe es sie nicht. Es ist obendrein ein ungewöhnlich schönes Buch, das man sich unter die ""50 schönsten Bücher des Jahres 2000"" wünscht: distinguiert der Einband, elegant die Antiquaschrift, wohltuend ruhig der Satzspiegel, angenehm das gelbliche Papier, reizend die elementaren, klar konturierten blau-grau-schwarzen Zeichnungen - die dritte Zusammenarbeit von Jürg Schubiger und der Buchkünstlerin Rotraut Susanne Berner.";;2000;3.0/2000/12/14/200051_kj-schubiger.xml..xml;zeit.stimuli.erzaehler.withbertpred_balanced_Gold (1);zeit.stimuli.erzaehler.withbertpred_balanced_BG;;zeit.stimuli.erzaehler.withbertpred_balanced_FA;zeit.stimuli.erzaehler.withbertpred_balanced_Rist;;;;;;;;;
179;969;108;439210_2;erzähler;b;b;100;n;;b;100;b;;n;;Lauter wunderliche Erscheinungen und Ereignisse, und alle sind sie wirklich, obwohl sie manchmal nicht von dieser Welt zu sein scheinen - ein Irrtum, denn der Schweizer Erzähler Jürg Schubiger hat sie in seiner Fantasie aufgespürt und in einer ungemein schönen trockenen, dichten Sprache niedergeschrieben, so, dass sie sich Kindern eröffnet und Erwachsene fasziniert.;"""Ja"", erfahren wir, ""sehr lange. Das Wort ,lang' ist viel zu kurz, um diese Zeit auszumessen."" Lauter wunderliche Erscheinungen und Ereignisse, und alle sind sie wirklich, obwohl sie manchmal nicht von dieser Welt zu sein scheinen - ein Irrtum, denn der Schweizer Erzähler Jürg Schubiger hat sie in seiner Fantasie aufgespürt und in einer ungemein schönen trockenen, dichten Sprache niedergeschrieben, so, dass sie sich Kindern eröffnet und Erwachsene fasziniert. Es sind achtundzwanzig Geschichten. Manche sind nur neun Zeilen, andere neun Seiten lang (und mehr), manche sind so heiter, dass man lacht, andere traurig und trotzdem komisch, manchmal bäumt sich am Schluss die Hoffnung auf.";;2000;3.0/2000/12/14/200051_kj-schubiger.xml..xml;zeit.stimuli.erzaehler.withbertpred_balanced_Gold (1);zeit.stimuli.erzaehler.withbertpred_balanced_BG;;zeit.stimuli.erzaehler.withbertpred_balanced_FA;zeit.stimuli.erzaehler.withbertpred_balanced_Rist;;;;;;;;;
180;970;109;440154;erzähler;b;b;70;n;;b;100;b;;n;;Mit dieser frühen Aussteigergeschichte eines vierzigjährigen Unternehmers feierte der melancholisch-skeptische, aber immer humorvolle Nonnenmann in der Kritik für seine Verhältnisse regelrechte Triumphe: als moderner Erzähler und einfallsreicher Fabulierer, dem die Figuren davonlaufen, um ein oft skurriles Eigenleben zu entwickeln.;"Dass Poesie immer auch eine Form von existenzieller Bewältigungsarbeit sei, und zwar für Autor und Leser, davon war Klaus Nonnenmann stets überzeugt, diese Auffassung war Motor seiner Schriftstellerei. Der treibt auch das Erzählen seines umfangreichsten Buchs an, des fünf Jahre nach den Briefen des Doktor Wambach erschienenen Romans Teddy Flesh oder Die Belagerung von Sagunt. Mit dieser frühen Aussteigergeschichte eines vierzigjährigen Unternehmers feierte der melancholisch-skeptische, aber immer humorvolle Nonnenmann in der Kritik für seine Verhältnisse regelrechte Triumphe: als moderner Erzähler und einfallsreicher Fabulierer, dem die Figuren davonlaufen, um ein oft skurriles Eigenleben zu entwickeln. Wer weiß, vielleicht hat Michael Ende mit seinen Fantasiegeschichten gerade bei diesem Roman von Nonnenmann etwas gelernt. Nun hat Jochen Greven, einst der überaus verdienstvolle editorische Wegbereiter und Herausgeber Robert Walsers, auch in Klaus Nonnenmann ein lange Zeit vernachlässigtes ""Objekt"" seiner nachgerade unerschütterlichen Literaturliebe gefunden und einen Band herausgegeben, der Nonnenmann dem Leser mit wichtigen kleinen alten, also bereits veröffentlichten Texten, und etwas längeren neuen Texten aus dem Nachlass ins Gedächtnis zurückholt.";;2000;3.0/2000/11/16/Der_Puppenredner.xml.xml;zeit.stimuli.erzaehler.withbertpred_balanced_Gold (1);zeit.stimuli.erzaehler.withbertpred_balanced_BG;;zeit.stimuli.erzaehler.withbertpred_balanced_FA;zeit.stimuli.erzaehler.withbertpred_balanced_Rist;;;;;;;;;
